frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
66,0.066,0.98,1,0.082,0.144,0.048,-0.08,-0.054,0.0,0.0,0.028000000000000004,0.0,0.074,0.1,0.008,0.11599999999999999,0.16,0.13999999999999999,0.0,0.008,0.024,0.13999999999999999,0.018,0.0,0.0
67,0.067,0.98,1,0.086,0.146,0.048,-0.076,-0.057,0.0,0.0,0.038,0.0,0.1,0.126,0.002,0.134,0.19,0.194,0.0,0.016,0.036,0.136,0.014000000000000002,0.0,0.0
68,0.068,0.98,1,0.09,0.143,0.049,-0.081,-0.055,0.0,0.0,0.05,0.0,0.11599999999999999,0.118,0.004,0.126,0.22000000000000003,0.21400000000000002,0.0,0.024,0.04,0.13799999999999998,0.008,0.0,0.0
69,0.069,0.98,1,0.087,0.139,0.051,-0.08,-0.055,0.0,0.0,0.038,0.0,0.132,0.118,0.004,0.134,0.23399999999999999,0.22999999999999998,0.0,0.028000000000000004,0.054000000000000006,0.13999999999999999,0.008,0.0,0.0
70,0.07,0.98,1,0.079,0.137,0.051,-0.079,-0.056,0.0,0.0,0.036,0.0,0.144,0.10600000000000001,0.002,0.134,0.25,0.22200000000000003,0.0,0.032,0.064,0.15,0.008,0.0,0.0
71,0.071,0.98,1,0.077,0.142,0.049,-0.078,-0.055,0.0,0.0,0.041999999999999996,0.0,0.16599999999999998,0.11200000000000002,0.0,0.146,0.266,0.25,0.0,0.036,0.094,0.15,0.008,0.0,0.0
72,0.072,0.98,1,0.079,0.137,0.053,-0.077,-0.056,0.0,0.0,0.046,0.0,0.178,0.10400000000000001,0.0,0.144,0.284,0.27599999999999997,0.0,0.052000000000000005,0.088,0.154,0.01,0.0,0.0
73,0.073,0.98,1,0.075,0.134,0.049,-0.078,-0.058,0.0,0.0,0.041999999999999996,0.0,0.184,0.122,0.0,0.148,0.302,0.31,0.0,0.057999999999999996,0.10200000000000001,0.16,0.016,0.0,0.0
74,0.074,0.98,1,0.077,0.136,0.049,-0.08,-0.056,0.0,0.0,0.018,0.0,0.182,0.126,0.0,0.15,0.304,0.32,0.0,0.054000000000000006,0.10800000000000001,0.16599999999999998,0.032,0.0,0.0
75,0.075,0.98,1,0.076,0.13,0.046,-0.082,-0.057,0.0,0.0,0.006,0.0,0.178,0.122,0.0,0.156,0.298,0.316,0.0,0.054000000000000006,0.128,0.16599999999999998,0.024,0.0,0.0
