frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
44,0.044,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03544026,4.634094e-08,0.08124913,0.04345631,0.05310003,0.05523856,0.07517809,0.05456494,0.06782327,0.06140947,0.02617114,0.02731288,0.0831288,0.02177772,0.03851869,0.08166203,0.0
45,0.045,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0354315,4.743633e-08,0.08117598,0.04361978,0.0530686,0.05531882,0.07517716,0.05451985,0.06748033,0.06158479,0.02615396,0.0272814,0.08287614,0.02150408,0.03829078,0.0817059,0.0
46,0.046,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03541552,4.794524e-08,0.08111878,0.0436676,0.05302903,0.05540567,0.07517612,0.05475429,0.06721092,0.06190372,0.02613506,0.02725761,0.0826532,0.02126544,0.03807909,0.08172208,0.0
47,0.047,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03543697,4.878908e-08,0.08102734,0.04377988,0.05301202,0.05548885,0.07517403,0.05487636,0.06702401,0.0621035,0.02612401,0.02722785,0.08250367,0.0210559,0.0379438,0.08170307,0.0
48,0.048,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03546721,4.973377e-08,0.08094592,0.04390173,0.05299354,0.05559769,0.0751726,0.05510088,0.06762542,0.06210313,0.02611529,0.02721428,0.0821608,0.02077466,0.03783882,0.08169013,0.0
49,0.049,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03551358,5.070186e-08,0.08089721,0.04410891,0.05298818,0.05566909,0.07516999,0.0556131,0.06904439,0.06225577,0.02610664,0.02721029,0.08196992,0.02048501,0.03788853,0.08168264,0.0
50,0.05,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03552594,5.109005e-08,0.08082157,0.04428052,0.052998,0.05566999,0.07516579,0.05650865,0.07071777,0.06246825,0.02610532,0.02722125,0.08210216,0.0201906,0.03795848,0.08165051,0.0
51,0.051,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03555681,5.121733e-08,0.08074574,0.04444426,0.05301126,0.05552958,0.0751608,0.05761367,0.07231753,0.06274277,0.02609492,0.0272174,0.08261853,0.01994128,0.03795778,0.08156705,0.0
52,0.052,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03556372,5.116944e-08,0.08067296,0.04456931,0.05303605,0.05544964,0.07515581,0.05852356,0.0734075,0.06320905,0.02609036,0.02724068,0.08306408,0.01976129,0.03804598,0.0814979,0.0
53,0.053,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03559934,5.162978e-08,0.08062365,0.04474846,0.053083,0.05539056,0.07515199,0.05935672,0.07454558,0.06356595,0.02608953,0.0272823,0.08349814,0.01968607,0.03805223,0.08139751,0.0
54,0.054,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0356167,5.201814e-08,0.0805808,0.04483762,0.05313625,0.05532878,0.07514842,0.06050789,0.07511118,0.06368887,0.02609078,0.02736045,0.08401661,0.01974677,0.03811656,0.08129731,0.0
55,0.055,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03562475,5.2266e-08,0.08054347,0.04494151,0.05318192,0.05527983,0.07514502,0.0615439,0.0757111,0.0637937,0.0260931,0.02745799,0.08450998,0.01981585,0.03820764,0.08119866,0.0
56,0.056,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03562956,5.189897e-08,0.08047128,0.04514947,0.05320589,0.05520576,0.07514125,0.06241574,0.07616229,0.06393966,0.0260974,0.02764015,0.08471174,0.01968996,0.03828272,0.08111611,0.0
57,0.057,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03563198,5.123783e-08,0.08040335,0.04528737,0.05322035,0.05512431,0.07513788,0.06320786,0.07670192,0.06405567,0.0261069,0.02782453,0.0847802,0.01961697,0.03831111,0.08104704,0.0
58,0.058,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03567126,5.094805e-08,0.08037956,0.04548091,0.05326232,0.05506757,0.07513399,0.06415395,0.07669303,0.0642027,0.02612188,0.0280528,0.08481891,0.01963427,0.03855774,0.08095309,0.0
59,0.059,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03567936,5.072142e-08,0.08032672,0.04574692,0.05329426,0.05499505,0.07513178,0.06480583,0.0769771,0.06458978,0.02612413,0.02819862,0.0848996,0.01961499,0.03868018,0.08084209,0.0
60,0.06,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03565119,4.96034e-08,0.0803043,0.04562761,0.05336659,0.05496142,0.07512978,0.06566969,0.07722454,0.06481443,0.02613598,0.02823622,0.08482626,0.01949862,0.03872495,0.08075698,0.0
