frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26,AU45_r
36,0.036,1.0,1,0.125,0.11,0.039,-0.084,-0.052,0.37022340222927747,0.26030727954304517,0.025797966315360965,0.018093141358338748,0.00026170278780142863,0.0018884959991639166,3.0734181434420927e-07,0.0019593605208120687,0.017250608639503794,0.3240813495743614,0.005305055220859564,0.07029657717453332,0.01735472943590405,0.1580645173887797,0.00042814377828054523,0.0011524826978036582,0.0
37,0.037,1.0,1,0.121,0.105,0.039,-0.084,-0.052,0.388933098995345,0.25383965923985186,0.03538449220192463,0.017865036660115057,0.0002920836443800402,0.0022285333434583286,4.2299984237878924e-07,0.0017559378226241697,0.016416313607370787,0.31849676999488385,0.005440716571930035,0.07373195691194756,0.017613775751415272,0.14255738726944006,0.00044420374439447217,0.0011088298558445265,0.0
38,0.038,1.0,1,0.119,0.109,0.037,-0.083,-0.051,0.3291471287450594,0.2273127307106812,0.028474295766482218,0.020238790368890366,0.0002488845295562646,0.002068053518972473,4.3764037623444234e-07,0.002131965910940728,0.017572401954021724,0.33260561007436107,0.006248771832793269,0.08138224792333759,0.01738218620174461,0.17520567298930645,0.00036896532648825827,0.001113331837423651,0.0
39,0.039,1.0,1,0.121,0.103,0.041,-0.083,-0.051,0.35535150360319007,0.2490211697172006,0.032790460597588236,0.019099961061961847,0.00024929206256788807,0.0021513377240466023,5.440643920526404e-07,0.001795036203622896,0.014052609811200416,0.2949528364034799,0.004085795998817249,0.06962876158523418,0.014550323890054513,0.16458761360973762,0.0004051207164471378,0.0011109076787366118,0.0
40,0.04,1.0,1,0.094,0.098,0.038,-0.083,-0.051,0.37592291917263315,0.24243366193380464,0.03147309108790089,0.014693417685380395,0.00039152266633518115,0.0027249447782181206,5.217412333952507e-07,0.0020805218256855045,0.019598344161561275,0.32328956716934315,0.007051131828293233,0.08630743126931488,0.013886834877553569,0.15677339352953115,0.0004034536967050291,0.0010985650920729306,0.0
41,0.041,1.0,1,0.087,0.096,0.038,-0.084,-0.052,0.3688063455790999,0.25480336124063047,0.02884379429217227,0.0182351779959518,0.00027470224897869686,0.0023434834232841767,4.1390870078038747e-07,0.0021277037948051834,0.018277664593040942,0.33942969019775054,0.005966689113084135,0.07573199433585724,0.0156433484687865,0.1729007878600703,0.0003666586287355264,0.001080536278066945,0.0
42,0.042,1.0,1,0.1,0.106,0.04,-0.083,-0.052,0.36881846230704074,0.2563828621702874,0.034556378000376795,0.017042664393842367,0.0002681387795877858,0.002133864606870403,4.1162864463001463e-07,0.001662462317523419,0.01658010790282134,0.31970847530778085,0.00468404520998808,0.06976797781478769,0.02125649434467643,0.17003316255186815,0.0004309775760608555,0.0011239975772822939,0.0
43,0.043,1.0,1,0.096,0.099,0.04,-0.082,-0.053,0.35628088305047034,0.25637250064693384,0.033780439678168475,0.02030426312370268,0.00028499846163932796,0.002724577804985417,4.806746051994705e-07,0.0014773200655951182,0.01284444690472446,0.26744270792998176,0.004029041367930484,0.06122399243490856,0.015149182649001188,0.16026225371001881,0.0003875454313699334,0.0010673009293704738,0.0
44,0.044,1.0,1,0.095,0.087,0.04,-0.081,-0.053,0.3888133481258223,0.2746680878852164,0.03256147232203153,0.024548146288298586,0.000306137939333607,0.0025009366100324964,3.6254527887708483e-07,0.0016200017859428887,0.02137247216884693,0.3697347396329429,0.007412576437712701,0.08922407441515935,0.01590315848336846,0.17494805209318656,0.0003533537641533038,0.0011538384152783437,0.0
45,0.045,1.0,1,0.09,0.087,0.041,-0.083,-0.052,0.46565779431490406,0.29501985469092795,0.03913747851361852,0.027228726761088805,0.0003310761807195162,0.0022355535649211575,4.5536166754527e-07,0.0018682569752543335,0.024910836632245525,0.37906934059932335,0.009667900272618839,0.08974216398718245,0.013754401670816473,0.18543319161609642,0.0003442500505289111,0.0011719624176074308,0.0
